rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,updated_at
10,292. 영일 어린이공원,31,310,37.51012039,126.90406799,ST-1700,2025-09-04T10:00:00.000+09:00
15,293. 충북 미래관,38,253,37.52917099,126.90757751,ST-1701,2025-09-04T10:00:00.000+09:00
10,295.영등포공원 분수대 앞,8,80,37.51481247,126.91170502,ST-1967,2025-09-04T10:00:00.000+09:00
20,296.KT플라자 영등포점,21,105,37.52630234,126.90538025,ST-1968,2025-09-04T10:00:00.000+09:00
10,297.국회3문,0,0,37.52863693,126.91267395,ST-1969,2025-09-04T10:00:00.000+09:00
25,298.KBS 연구동 건너편,1,4,37.52750778,126.91429901,ST-1970,2025-09-04T10:00:00.000+09:00
10,299.여의도 순복음교회,0,0,37.53179169,126.92245483,ST-1971,2025-09-04T10:00:00.000+09:00
6,300. 정동사거리,3,50,37.56805038,126.96923065,ST-116,2025-09-04T10:00:00.000+09:00
20,301. 경복궁역 7번출구 앞,16,80,37.57579422,126.97145081,ST-117,2025-09-04T10:00:00.000+09:00
12,302. 경복궁역 6번출구 뒤,7,58,37.57561493,126.97289276,ST-118,2025-09-04T10:00:00.000+09:00
8,303. 광화문역 1번출구 앞,12,150,37.57176971,126.97466278,ST-119,2025-09-04T10:00:00.000+09:00
16,305. 종로구청 옆,9,56,37.57255936,126.97833252,ST-121,2025-09-04T10:00:00.000+09:00
11,307. 서울역사박물관 앞,2,18,37.56999969,126.97109985,ST-123,2025-09-04T10:00:00.000+09:00
31,308. 광화문 S타워 앞,7,23,37.56996918,126.97393799,ST-124,2025-09-04T10:00:00.000+09:00
13,309. 광화문역 6번출구 옆 B,4,31,37.56996155,126.97615814,ST-125,2025-09-04T10:00:00.000+09:00
8,310. 청계광장 옆,0,0,37.56887817,126.97747040,ST-126,2025-09-04T10:00:00.000+09:00
10,314. 국립현대미술관,2,20,37.57970810,126.98085785,ST-130,2025-09-04T10:00:00.000+09:00
8,316. 종각역 1번출구 앞,3,38,37.57039642,126.98178864,ST-132,2025-09-04T10:00:00.000+09:00
10,318. 광교사거리 남측,2,20,37.56863403,126.98231506,ST-134,2025-09-04T10:00:00.000+09:00
17,320. 을지로입구역 4번출구 앞,2,12,37.56622314,126.98358917,ST-136,2025-09-04T10:00:00.000+09:00
15,321. KEB 하나금융그룹 명동사옥 옆,2,13,37.56546402,126.98413849,ST-137,2025-09-04T10:00:00.000+09:00
10,322. 명동성당 앞,0,0,37.56447601,126.98696899,ST-138,2025-09-04T10:00:00.000+09:00
8,324. 신세계백화점 본점 앞,1,13,37.56134415,126.98050690,ST-140,2025-09-04T10:00:00.000+09:00
15,326. 안국역 5번출구 앞,4,27,37.57624054,126.98616028,ST-142,2025-09-04T10:00:00.000+09:00
10,327. 낙원상가 옆,3,30,37.57335663,126.98746490,ST-143,2025-09-04T10:00:00.000+09:00
8,329. 청계2가 사거리 옆,0,0,37.56848526,126.98788452,ST-145,2025-09-04T10:00:00.000+09:00
10,331. 을지로2가 사거리 북측,0,0,37.56638336,126.98720551,ST-147,2025-09-04T10:00:00.000+09:00
5,332. 을지로2가 사거리 남측,1,20,37.56599045,126.98779297,ST-148,2025-09-04T10:00:00.000+09:00
10,334. 종로3가역 2번출구 뒤,3,30,37.57059860,126.99179077,ST-150,2025-09-04T10:00:00.000+09:00
10,335. 종로3가역 15번출구 뒤,3,30,37.57019424,126.99165344,ST-151,2025-09-04T10:00:00.000+09:00
8,336. 충무로역 6번출구 앞,0,0,37.56144714,126.99311066,ST-152,2025-09-04T10:00:00.000+09:00
5,337. 창경궁 입구,9,180,37.57897949,126.99647522,ST-153,2025-09-04T10:00:00.000+09:00
18,338. 세운스퀘어 앞,0,0,37.57095718,126.99712372,ST-154,2025-09-04T10:00:00.000+09:00
